Run,OK,RMSE_Pn,RMSE_Pe,RMSE_Pd,RMSE_u,RMSE_v,RMSE_w,RMSE_phi,RMSE_theta,RMSE_psi,RMSE_p,RMSE_q,RMSE_r
22,1,1.38217349191945e-05,0.0227982135620438,2.80149348284261e-06,5.03334809446894e-06,7.88603260430226e-09,2.84126404949586e-11,0.00138886100188165,6.70702363014186e-06,9.17190296440847e-11,2.61294433510498e-10,1.61220642448089e-07,2.29689045587024e-10
23,1,3.55321222935297e-05,0.0227982293384776,2.80149376439236e-06,9.61988008639906e-06,1.35496197238803e-08,6.36443476128518e-11,0.00138886047979631,6.72561179632588e-06,2.09352063276275e-10,4.471202020158e-10,3.58321352409552e-07,5.31815175804785e-10
24,1,0.000297854647138529,0.0227982117335661,2.80147262736927e-06,7.59436137416297e-05,1.0409791462153e-08,9.1528628345087e-10,0.00138886106570399,9.5503655563142e-06,1.65961256679638e-09,3.36154205646554e-10,2.84761592103791e-06,4.19957109305328e-09
25,1,0.000190435646303861,0.0227982269256706,2.80148894715521e-06,4.99109421385844e-05,1.02855631920824e-08,3.52232248670434e-10,0.00138886055804132,7.06201494055508e-06,1.0874835195312e-09,3.34658155959369e-10,1.87102723886428e-06,2.75051239587762e-09
26,1,3.97735409463636e-05,0.0227982229889813,2.80149378513477e-06,1.25202663717036e-05,4.92253315159478e-09,7.30377678489358e-11,0.00138886069001069,6.61654222746492e-06,2.43376828374426e-10,1.61456194497319e-10,4.27240482830525e-07,6.12956782085424e-10
27,1,1.69259578106254e-05,0.022798215167168,2.80149319347975e-06,4.35379077851043e-06,5.71247933228273e-09,2.50864346809814e-11,0.00138886094913856,6.79680698011305e-06,7.42691768492633e-11,1.88654585112655e-10,1.22178257762158e-07,1.9061979962376e-10
28,1,7.09349738165431e-05,0.0227982192567029,2.80149335901653e-06,2.21430887765578e-05,1.52097597779832e-10,1.16730082840484e-10,0.00138886081330492,6.55960908315201e-06,4.25241196337127e-10,8.57975381424889e-12,7.46791575219849e-07,1.06974820946437e-09
29,1,0.000597652725744824,0.022798214609454,2.80145090658529e-06,0.000160619205554568,6.29707413421113e-09,1.76448288596948e-09,0.0013888609575914,1.0749002235541e-05,3.27653929619607e-09,2.21447284793143e-10,5.49075319572103e-06,8.33421943012234e-09
30,1,0.000164220749486283,0.0227982182502089,2.80148980184774e-06,4.51452301422123e-05,1.5051444082076e-09,3.07765324529331e-10,0.00138886084557663,6.89382786167025e-06,9.51347336098049e-10,5.50719148052147e-11,1.65077864104306e-06,2.39986141375251e-09
31,1,8.6388425767301e-05,0.0227982188347511,2.80149041017583e-06,2.2341488183554e-05,7.30831701021655e-10,1.94261073904234e-10,0.00138886082830268,7.38421352425995e-06,4.75860795294948e-10,2.20214328713809e-11,8.24099390251983e-07,1.20116350039827e-09
32,1,0.00020310830678915,0.0227982215817074,2.80148133158663e-06,5.33881953210495e-05,2.98735862938701e-09,6.3921051028221e-10,0.00138886073852286,8.69326437814296e-06,1.13988566116976e-09,1.04855270636529e-10,1.97265108505134e-06,2.87713163601529e-09
33,1,0.000159443744754044,0.0227982098149347,2.8014859521467e-06,4.06485276600905e-05,1.29893334707286e-08,3.95302830204807e-10,0.00138886112745689,7.98815448295294e-06,8.84397894298314e-10,4.25106307117756e-10,1.52287826680232e-06,2.23705927490669e-09
34,1,0.000325618192111922,0.0227982163298828,2.80147144931289e-06,8.26022984030194e-05,4.18406041833537e-09,8.96047767723831e-10,0.00138886091450935,9.57764051009251e-06,1.80269073161464e-09,1.30104619828443e-10,3.07388133923945e-06,4.56743597073891e-09
