Run,Converged,RMSE_X_Pos,RMSE_Vx_Vel,RMSE_Z_Pos,RMSE_Y_Pos,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
25,1,NaN,10.3540650884996,9.60236953962092e-05,39.5681324658932,1.64877089862815e-17,5.87039967213701e-08,9.82134653903297e-16
26,1,NaN,10.353846582714,0.000152261638517872,80.8928268665489,1.72132718581101e-17,5.86855913957035e-08,1.02245701121923e-15
27,1,NaN,10.3532123705253,0.000208464829649945,78.5713025278087,5.75694953992972e-16,5.86095233831267e-08,1.63620851823114e-15
28,1,NaN,10.3529463405382,0.00031413163391628,113.94776718397,1.57675541773626e-14,5.87099818900715e-08,3.66207872741713e-14
29,1,NaN,10.3546468121671,8.5278769690648e-05,76.5575265416509,1.60986444652741e-17,5.87671391398966e-08,9.42782548484698e-16
30,1,NaN,10.3537262287101,0.000140532776956735,92.9737026927083,1.80299675985297e-17,5.87294398309651e-08,9.84745865363147e-16
31,1,NaN,10.3522536609071,0.000334387110996857,164.159680432356,1.02115795336275e-11,5.85581704796935e-08,2.40899517606187e-11
32,1,NaN,10.3542522185405,7.41468031880314e-05,25.2473455647816,1.76055784642587e-17,5.87217439340373e-08,9.86993516561409e-16
33,1,NaN,10.3511835049049,0.00101311320130915,317.994019589368,3.63472656455051e-09,5.87739980367537e-08,8.59834255231754e-09
34,1,NaN,10.3551918757099,5.81499311314768e-05,1.67312667719051,1.66581506740232e-17,5.87643322318979e-08,9.27645730414715e-16
35,1,NaN,10.3499329618336,0.000490981746308487,270.786548579201,1.32111072115651e-07,5.9017468343049e-08,3.05644905467705e-07
36,1,NaN,10.3541066479202,0.000124478344398446,70.1626130769732,1.67371582938091e-17,5.87438956224752e-08,9.28802493969926e-16
37,1,NaN,10.3552642019784,5.70701387762366e-05,11.0789476676682,1.73202090202072e-17,5.87280701742043e-08,9.66539830449636e-16
38,1,NaN,10.3545874682081,4.17753797771989e-05,42.156365880583,1.63282771898102e-17,5.88063570158345e-08,9.76392553423277e-16
39,1,NaN,10.3539589969521,9.98015035558436e-05,58.4158418369316,1.6980048658747e-17,5.87038745022314e-08,9.37724206084836e-16
40,1,NaN,10.3542864275123,3.437708108795e-05,38.4610838356437,1.64920171543817e-17,5.87354114122384e-08,9.75054360780444e-16
41,1,NaN,10.3535078483654,0.000196176637135296,78.9746659639281,1.62483541355243e-17,5.86525206291463e-08,9.63403320591926e-16
42,1,NaN,10.35365594138,0.000165527391330937,82.8048998425646,1.94457645420786e-17,5.86581554137075e-08,9.1874190725689e-16
43,1,NaN,10.3533344579273,0.000206011065994861,84.7084388060614,2.73026011865666e-17,5.86295268411875e-08,9.32938861826292e-16
44,1,NaN,10.3527441071545,0.000271190301434644,131.835401346979,1.49426820862698e-13,5.86271728103895e-08,3.4874558680951e-13
45,1,NaN,10.3550504606303,2.85382960294803e-05,40.3261370684257,1.62052010441228e-17,5.86789269876969e-08,9.4742199763652e-16
46,1,NaN,10.353199694245,0.000197089052189845,92.5991588635525,5.87129523295502e-16,5.86634990907282e-08,1.69023785493763e-15
47,1,NaN,10.352402638401,0.000536377694968252,214.217140316035,1.08528555534833e-13,5.88341699662367e-08,2.55610400904995e-13
48,1,NaN,10.353324590032,0.000268695122573318,60.7842268730781,3.84816276186037e-17,5.8669585609166e-08,9.46303474692652e-16
49,1,NaN,10.3451849410307,0.00749041560132763,96.8423095607904,1.40004906973071e-05,5.70550320514501e-08,2.65314823190766e-05
50,1,NaN,10.3539608586335,0.000107266302551121,49.4137225600778,1.62555974743178e-17,5.87436957871684e-08,9.58368075584444e-16
51,1,NaN,10.3529287835829,0.000292515305066542,180.943474109101,1.77803252792041e-14,5.88115218511761e-08,4.13022982845205e-14
52,1,NaN,10.3537148355704,0.000123552534374719,64.1166999878191,1.67730215497966e-17,5.86535294069744e-08,9.70663041749018e-16
53,1,NaN,10.3525931527129,0.000340855064124586,160.828975238225,5.77438821492223e-13,5.82419442673332e-08,1.35339949714602e-12
54,1,NaN,10.3548313296448,5.00535173010859e-05,18.5693696937382,1.65491835745053e-17,5.87007802133945e-08,9.35754406708938e-16
55,1,NaN,10.3530511912157,0.000184412889262197,76.741735427029,3.88542096221697e-15,5.87018625123924e-08,9.02771864563485e-15
56,1,NaN,10.3537843346434,0.000115872413480525,42.8569643610014,1.62515225895916e-17,5.86581325313051e-08,9.07939247283452e-16
57,1,NaN,10.3533609481998,0.000182179752488785,58.1182416679888,1.47532947740812e-16,5.86491464774848e-08,1.03538951597284e-15
58,1,NaN,10.3540945969293,0.000111370702660205,49.8662017093624,1.59935066997791e-17,5.87068618592973e-08,9.53748044441141e-16
59,1,NaN,10.3538555544695,0.000116456072375603,44.3458385407563,1.56425971328484e-17,5.86685905873358e-08,9.27218248048849e-16
60,1,NaN,10.3522254512734,0.000339243210774691,123.352725848911,1.35876460442231e-11,5.69045520737243e-08,3.20683024765217e-11
61,1,NaN,10.3530246832715,0.000283163031012052,171.866907115427,1.12693078791522e-14,5.88667999139958e-08,2.6097452486321e-14
62,1,NaN,10.3532172079277,0.0001789313697512,97.8549596733163,3.68257392544764e-16,5.86164129900053e-08,1.2885650424618e-15
63,1,NaN,10.3535277048798,0.0001247859976725,38.8326597347653,1.64111544903655e-17,5.87626563925041e-08,9.28195478034458e-16
64,1,NaN,10.354201517845,0.000113390393838217,43.9906265495098,1.68026299893183e-17,5.86852956472243e-08,9.51756385918296e-16
65,1,NaN,10.3530709237739,0.000206803864830737,71.5655064566294,3.10065165122888e-15,5.87094796370346e-08,7.22199905578857e-15
66,1,NaN,10.3526774234065,0.000330934124961479,181.828132296412,1.69170218487872e-13,5.85925215143748e-08,3.95690584023807e-13
67,1,NaN,10.3541949282336,0.000106852735454831,56.5537075897096,1.75037383637189e-17,5.87080903117075e-08,9.90803772303166e-16
68,1,NaN,10.3529996298175,0.00024305438505114,102.479019402615,8.1954995354754e-15,5.86476098039352e-08,1.89902648604258e-14
69,1,NaN,10.352748049978,0.000342290397927438,136.818147439161,8.76825431658856e-14,5.86584345310963e-08,2.04727906812539e-13
70,1,NaN,10.355065782449,2.57625484218597e-05,82.4560090739699,1.70195914534974e-17,5.86852693538228e-08,9.30851789487478e-16
71,1,NaN,10.3540084702837,0.000123402355830087,50.2983715704183,1.64217661693017e-17,5.87045846585223e-08,9.01606339938953e-16
72,1,NaN,10.3546686705675,3.43116280215952e-05,13.2050605145101,1.69794841841687e-17,5.88102266127087e-08,9.65346447968127e-16
73,1,NaN,10.3533774468857,0.000210489606884415,147.655103709423,5.77165383264197e-16,5.87144407719624e-08,1.64268033470572e-15
74,1,NaN,10.352543739453,0.000459224492905257,169.784424832764,4.67743410177888e-13,5.85978262012773e-08,1.09821450512956e-12
