Run,Success,Crashed,RMSE_Alt,RMSE_Vx,RMSE_Phi,RMSE_Theta
71,1,0,2.80149334308535e-06,2.50408741912393e-09,0.00138886080996975,6.80601034969944e-06
72,1,0,2.80149334143405e-06,1.41335428935269e-08,0.00138886080996928,6.80612106634485e-06
73,1,0,2.80149334415562e-06,2.18161962103329e-07,0.00138886080997168,6.80278019152794e-06
74,1,0,2.80149333065079e-06,3.76287135071456e-09,0.00138886080996969,6.80591547319295e-06
75,1,0,2.80149333792334e-06,3.55401815555531e-08,0.0013888608099687,6.80634717311172e-06
76,1,0,2.80149332545867e-06,6.45773943499874e-08,0.00138886080996842,6.8067949159896e-06
77,1,0,2.80149332097756e-06,2.17978760905089e-07,0.0013888608099662,6.80891782081706e-06
78,1,0,2.80149334468661e-06,1.55430932236976e-07,0.00138886080997477,6.80386061310889e-06
79,1,0,2.80149333581406e-06,5.30182313312064e-08,0.00138886080997091,6.80533733681302e-06
80,1,0,2.80149333420358e-06,5.76059877954671e-09,0.00138886080996952,6.80603293700168e-06
81,1,0,2.80149333043454e-06,3.62866876124152e-08,0.00138886080997066,6.80557892467116e-06
82,1,0,2.80149333095961e-06,6.10542861081536e-08,0.00138886080996805,6.80663507671961e-06
83,1,0,2.8014933395326e-06,3.91019126950941e-09,0.0013888608099725,6.80602897823416e-06
84,1,0,2.80149332515788e-06,2.1778683660249e-08,0.00138886080997313,6.80577536646765e-06
85,1,0,2.80128325373594e-06,0.000291464933149305,0.00138886082257509,2.07285079313338e-05
86,1,0,2.80149329233706e-06,1.24271416979381e-06,0.00138886081003116,6.81340658240599e-06
87,1,0,2.80149332354543e-06,1.2799794676101e-08,0.00138886080997013,6.80590287814212e-06
88,1,0,2.80149332706475e-06,1.77503465469727e-08,0.00138886080997275,6.80574203084072e-06
89,1,0,2.80149334130894e-06,1.15910564394644e-08,0.00138886080996927,6.80605728857227e-06
90,1,0,2.80149332869152e-06,3.33408691753152e-08,0.00138886080997063,6.8056202278035e-06
91,1,0,2.80149332532176e-06,1.90274029896317e-09,0.00138886080996964,6.80594003931506e-06
92,1,0,0.368232394013415,17.0497604729903,0.0682181714123327,0.751969869426946
93,1,0,2.80149332173694e-06,1.50628821729111e-07,0.00138886080996769,6.80808567790261e-06
94,1,0,2.80149333573921e-06,5.42067993289269e-08,0.001388860809971,6.80534347082157e-06
95,1,0,2.80149333242721e-06,6.74293042652703e-09,0.00138886080996992,6.80591197550728e-06
96,1,0,2.80149334265978e-06,8.79986898134185e-08,0.00138886080997131,6.80483079253977e-06
97,1,0,2.8014935663876e-06,1.72406717262822e-05,0.00138886081053072,6.66382507451024e-06
