Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
54,1,0,0.0001739487692857,0.0284977598301042,2.62640004805478e-05,2.25152932097157e-07,3.17342809339462e-09,6.96802388071371e-12,0.0013888496257058,1.36071394949219e-05,1.62710723838389e-12,8.51140468284012e-11,4.40108599661322e-09,6.82193167685296e-12
55,1,0,0.000173867405594484,0.0284977547686549,2.6263999852415e-05,1.50845471362708e-07,2.70306407483858e-09,1.5339276710239e-12,0.00138884976143821,1.36087220163287e-05,1.13308073654606e-12,7.2560838567557e-11,2.94859089824512e-09,4.59230903635206e-12
56,1,0,0.000173860531578611,0.0284977603906747,2.62640004816755e-05,1.44627051738542e-07,3.82426055991876e-09,6.76475938522722e-12,0.00138884961068101,1.3608855865189e-05,1.02928122619513e-12,1.02543189632791e-10,2.8270388914547e-09,4.37364183932964e-12
57,1,0,0.000173769767794041,0.028497761540462,2.62640005409767e-05,6.16419737174803e-08,5.1584907701441e-09,7.40698887147626e-12,0.00138884957985619,1.3610625191083e-05,4.07307170177017e-13,1.38315871937334e-10,1.20492162624659e-09,1.84801322013498e-12
58,1,0,0.000173996439012877,0.0284977528326952,2.6263999737461e-05,2.6860729646455e-07,4.95212156929894e-09,2.91232797175737e-12,0.00138884981334163,1.36062137559379e-05,2.01889457426982e-12,1.32834112365743e-10,5.25049256508382e-09,8.17853592489792e-12
59,1,0,0.000173469486078619,0.0284977577715018,2.62639998969133e-05,2.13854301739805e-07,7.81949221301673e-10,1.76866636548605e-12,0.00138884968094641,1.3616506722423e-05,1.57923657598282e-12,2.11466865530651e-11,4.18023059198599e-09,6.49682112451321e-12
60,1,0,0.000173452300868599,0.0284977665597155,2.62640008538525e-05,2.29701715746037e-07,1.09856714584281e-08,1.11252330770831e-11,0.00138884944528819,1.36168446387679e-05,1.78656599733564e-12,2.94542196237594e-10,4.49000144172822e-09,7.02592770651337e-12
61,1,0,0.000173638449706917,0.0284977589701102,2.62640001790059e-05,5.86511867758716e-08,2.17401732032127e-09,2.03367687541739e-12,0.00138884964879241,1.36131919801447e-05,4.5056336002135e-13,5.83096027629219e-11,1.14646040159319e-09,1.79196620277279e-12
62,1,0,0.000173921757733618,0.02849775681882,2.62640001453276e-05,2.00518266048374e-07,3.23347962393279e-10,2.17339452962258e-12,0.00138884970645738,1.36076645273748e-05,1.47710327466766e-12,9.06539433324996e-12,3.91954980178516e-09,6.08967892928568e-12
63,1,0,0.000173906703169014,0.0284977494744881,2.62639993191287e-05,1.86740385912496e-07,8.84985528486019e-09,8.94738248310052e-12,0.0013888499034013,1.3607957290253e-05,1.4516935699994e-12,2.37345163544958e-10,3.65023220139628e-09,5.71047942463623e-12
64,1,0,0.000173796526117728,0.0284977611581684,2.62640005183408e-05,8.61169140818572e-08,4.71474544443293e-09,7.15402182618621e-12,0.00138884959010542,1.36101031666194e-05,5.91191773635456e-13,1.26423509993298e-10,1.68333562669354e-09,2.59316143214528e-12
65,1,0,0.000173905863154721,0.0284977638263779,2.62640008768563e-05,1.85988473528266e-07,7.81281394222754e-09,1.24105698854668e-11,0.00138884951854695,1.36079736313155e-05,1.29789234908413e-12,2.09497004279538e-10,3.6355345992956e-09,5.61153594458536e-12
66,1,0,0.000173912977234637,0.0284977519433634,2.62639995851137e-05,1.92430008407028e-07,5.98246676120439e-09,5.1999184182717e-12,0.00138884983719642,1.36078352593762e-05,1.46800153476333e-12,1.60467146138054e-10,3.76144782017625e-09,5.87006166695817e-12
67,1,0,0.000173864209039034,0.0284977557495788,2.62639999542423e-05,1.47945334326934e-07,1.56463417723669e-09,1.91790213653904e-13,0.0013888497351344,1.36087842551135e-05,1.1016274221898e-12,4.20647079792878e-11,2.89190165214845e-09,4.49906287396816e-12
68,1,0,0.000173914710286287,0.0284977470667366,2.62639990685879e-05,1.94034746156084e-07,1.16444490624127e-08,1.24364826283889e-11,0.00138884996796615,1.36078015593646e-05,1.53019711391009e-12,3.1229267323667e-10,3.79281575563626e-09,5.9445408333405e-12
69,1,0,0.000173948548425873,0.028497760917918,2.62640005974681e-05,2.24861336178057e-07,4.43482053312906e-09,8.57963122647995e-12,0.00138884959653547,1.36071437715684e-05,1.61373887687303e-12,1.18914557571281e-10,4.39538612797108e-09,6.80712713343549e-12
70,1,0,0.000173082172270144,0.0284977782987411,2.62640018438118e-05,5.71684511593621e-07,2.46144003965407e-08,2.41706553986161e-11,0.00138884913052965,1.36241574382552e-05,4.42213160332667e-12,6.60046263585967e-10,1.11747716098309e-08,1.7471316362532e-11
71,1,0,0.000173884598976065,0.0284977484279093,2.62639991938618e-05,1.66583437842335e-07,1.006581643121e-08,1.07650030282294e-11,0.00138884993146788,1.36083873495384e-05,1.31432178759129e-12,2.69962454788541e-10,3.25622241990151e-09,5.1038035939361e-12
72,1,0,0.000173594454030552,0.028497751798285,2.62639993515918e-05,9.90508111455707e-08,6.15483825391171e-09,9.16866469808502e-12,0.00138884984111159,1.36140537747959e-05,6.73478086680797e-13,1.65034035512259e-10,1.93615578171267e-09,2.9792848507817e-12
73,1,0,0.000173648453632729,0.0284977692836067,2.62640012795571e-05,4.94754417612667e-08,1.41484006834071e-08,1.75040291524737e-11,0.00138884937222948,1.36129961511122e-05,4.8975128340444e-13,3.79364329194363e-10,9.67101165401783e-10,1.56802636911892e-12
74,1,0,0.000173295821089709,0.0284977455122148,2.62639984741349e-05,3.74030202054363e-07,1.34539346456242e-08,2.20845691664342e-11,0.00138885000970119,1.3619928103044e-05,2.63021501229266e-12,3.60763776178915e-10,7.31120426856085e-09,1.12956323060155e-11
75,1,0,0.000173837882181411,0.0284977602646583,2.62640004523362e-05,1.2393351703127e-07,3.67784314445114e-09,6.311457692555e-12,0.00138884961406203,1.360929702304e-05,8.78444481782861e-13,9.86267963694617e-11,2.42254037933298e-09,3.7461089001284e-12
76,1,0,0.000173601643108883,0.0284977482567926,2.62639989802636e-05,9.24478220231268e-08,1.02676605731901e-08,1.43559575472626e-11,0.00138884993607835,1.36139128905647e-05,5.88364800066975e-13,2.75299523014624e-10,1.80708652797954e-09,2.75984192396529e-12
77,1,0,0.000173986905597377,0.0284977456010671,2.62639989617215e-05,2.59952092466842e-07,1.33513745678947e-08,1.37794766640736e-11,0.00138885000726318,1.36063988147346e-05,2.03001800426106e-12,3.5806478726978e-10,5.08130842083953e-09,7.95384128016325e-12
78,1,0,0.000173814058438383,0.0284977570539251,2.6264000098251e-05,1.02161576991242e-07,5.05199851036231e-11,1.25343090778707e-12,0.00138884970016167,1.36097613155084e-05,7.51547317651025e-13,2.87971709143386e-12,1.99696215939575e-09,3.10205721346169e-12
79,1,0,0.000174007179484671,0.0284977673668857,2.6264001323492e-05,2.78312165547693e-07,1.19222599404945e-08,1.88634725399665e-11,0.00138884942359805,1.36060053074381e-05,1.94010513345618e-12,3.19697698340286e-10,5.44019465276493e-09,8.39624112268366e-12
80,1,0,0.000173914373718892,0.0284977554628593,2.62639999606965e-05,1.9372955695267e-07,1.8974289641722e-09,2.16604175875486e-13,0.00138884974281886,1.36078081048908e-05,1.4412002262806e-12,5.09656736399446e-11,3.78685024245618e-09,5.89090941719054e-12
