Run,Success,Crashed,RMSE_Alt,RMSE_Vx,RMSE_Phi,RMSE_Theta
36,1,0,2.80149371489858e-06,7.66171073300203e-06,0.00138886080822694,6.65688045636423e-06
37,1,0,2.80149375433988e-06,1.12878998780581e-05,0.00138886085606707,6.6021116146804e-06
38,1,0,2.80149370381105e-06,9.11459688200574e-06,0.00138886087010602,6.63614748128295e-06
39,1,0,2.80149381249893e-06,1.08783374999303e-05,0.00138886080927819,6.59744057458711e-06
40,1,0,2.80149377037718e-06,1.04500238651453e-05,0.00138886080729305,6.61583514138838e-06
41,1,0,2.8014936840838e-06,6.56622032317296e-06,0.00138886082200238,6.66824091349921e-06
42,1,0,2.80149352014139e-06,3.26047099039372e-06,0.0013888607709306,6.74201794648867e-06
43,1,0,2.80149367992418e-06,7.47006898237043e-06,0.00138886085709686,6.65872251736476e-06
44,1,0,2.8014937511587e-06,9.31692935216993e-06,0.00138886080393994,6.63333893886879e-06
45,1,0,2.80149357369411e-06,4.84672409438718e-06,0.00138886086606301,6.70174176805418e-06
46,1,0,2.80149371905048e-06,9.99845421969894e-06,0.00138886084924349,6.62862704229431e-06
47,1,0,2.80149328542363e-06,2.9151152334916e-06,0.0013888607687129,6.81446216833359e-06
48,1,0,2.80149345037095e-06,2.55810869435558e-06,0.00138886084302055,6.75265925539163e-06
49,1,0,2.80149359193733e-06,4.58221929065715e-06,0.00138886082695812,6.70785773037637e-06
50,1,0,2.80149369914569e-06,7.14719666651942e-06,0.00138886083688389,6.65622352916241e-06
51,1,0,2.8014937929779e-06,1.03192142500028e-05,0.00138886079455009,6.61216743668995e-06
52,1,0,2.80149375620143e-06,7.69268200326384e-06,0.00138886078026146,6.64688638574535e-06
53,1,0,2.80149363469158e-06,6.03816794704988e-06,0.00138886084476686,6.68539912206432e-06
54,1,0,2.80149369451529e-06,9.02113289536984e-06,0.00138886085211056,6.64524442724483e-06
55,1,0,2.80149365230622e-06,5.56794490256366e-06,0.00138886077810716,6.6978729796918e-06
56,1,0,2.80149332537067e-06,2.13129561466578e-06,0.00138886079662965,6.80015077230204e-06
57,1,0,2.80149375021557e-06,1.01132914427369e-05,0.00138886083857524,6.61866385071434e-06
58,1,0,2.80149370291181e-06,7.50273357132612e-06,0.00138886082822114,6.65691317685322e-06
59,1,0,2.8014936477856e-06,1.66054725981348e-05,0.00138886086527411,6.56321224167427e-06
60,1,0,2.80149353911123e-06,3.84002800477614e-06,0.00138886080486911,6.72729414557821e-06
61,1,0,2.80149343581383e-06,2.83818254006512e-06,0.00138886084598581,6.75401249534834e-06
62,1,0,2.80149377157522e-06,9.6995481787666e-06,0.00138886076959683,6.63138593010477e-06
63,1,0,2.80149291728469e-06,5.45526424442017e-06,0.00138886082405299,6.90446438187571e-06
64,1,0,2.80149368695432e-06,5.94919684924581e-06,0.00138886075197299,6.68313916134401e-06
65,1,0,2.80149283337112e-06,6.2133232717454e-06,0.00138886078499747,6.93604132630939e-06
66,1,0,2.80149332510848e-06,3.85200939671588e-06,0.0013888607867661,6.79282998811802e-06
67,1,0,2.8014927420278e-06,6.5738526535681e-06,0.0013888608323214,6.95619966937542e-06
68,1,0,2.80149366709467e-06,1.57918861849323e-05,0.00138886082430684,6.57873508575552e-06
69,1,0,2.80149314908858e-06,3.34736802231253e-06,0.00138886079817421,6.85031334016804e-06
70,1,0,2.80149304023322e-06,4.79023050096711e-06,0.00138886083366897,6.86615633135666e-06
71,1,0,2.8014937178133e-06,1.17910901339948e-05,0.00138886086189675,6.60767061789027e-06
72,1,0,2.80149365111768e-06,5.86045690823644e-06,0.00138886081667458,6.68624178161211e-06
73,1,0,2.80149358731095e-06,4.27507911353417e-06,0.00138886080208154,6.71331627301092e-06
74,1,0,2.80149356596067e-06,5.44704139409076e-06,0.0013888608633475,6.69905512344005e-06
75,1,0,2.80149375612199e-06,1.12754647639522e-05,0.00138886081030775,6.61188467075081e-06
76,1,0,2.8014937564054e-06,8.58723769276399e-06,0.00138886075638451,6.64872527604164e-06
77,1,0,2.80149353311684e-06,3.49541533503052e-06,0.00138886082892924,6.72902955797024e-06
78,1,0,2.80149376853175e-06,1.23473429245713e-05,0.00138886083289311,6.59066473606611e-06
79,1,0,2.80149358319795e-06,1.84148864223429e-05,0.00138886083088168,6.55978131102985e-06
80,1,0,2.80149346199006e-06,2.74229746732316e-06,0.00138886082937592,6.75059167495021e-06
81,1,0,2.80149364054495e-06,6.11945240484664e-06,0.00138886085246247,6.67980237004916e-06
82,1,0,2.80149305789488e-06,5.31154543680997e-06,0.00138886078862958,6.8653360662079e-06
83,1,0,2.80149372706633e-06,1.4235731450738e-05,0.00138886084235539,6.57813579573083e-06
84,1,0,2.80149357771867e-06,5.1045557018035e-06,0.00138886088467685,6.69725282260534e-06
85,1,0,2.8014936861844e-06,7.38802126611732e-06,0.00138886085802685,6.65584276217054e-06
86,1,0,2.80149369689209e-06,6.2164239306056e-06,0.00138886078126104,6.67494494189445e-06
87,1,0,2.80149375759504e-06,1.36302432955667e-05,0.00138886082058187,6.58095887172387e-06
88,1,0,2.80149362942412e-06,1.93222745970896e-05,0.00138886078308989,6.53999269412437e-06
89,1,0,2.80149244210977e-06,1.05828261607723e-05,0.0013888608370059,6.99100094594743e-06
90,1,0,2.80149350877558e-06,2.91716055741355e-06,0.0013888608126529,6.74141709018452e-06
91,1,0,2.80149342901516e-06,2.69126085236861e-06,0.00138886081604263,6.76244780900581e-06
92,1,0,2.80149377513782e-06,1.46475300552943e-05,0.00138886075226088,6.57599819436545e-06
93,1,0,2.80149371340867e-06,7.75685689237176e-06,0.00138886082086037,6.65340413401912e-06
94,1,0,2.80149343644289e-06,2.43986918656755e-06,0.00138886086692394,6.75324577055299e-06
95,1,0,2.80149376187492e-06,9.96562356485848e-06,0.00138886083444747,6.61666099752371e-06
96,1,0,2.80149301670719e-06,5.58790685608053e-06,0.0013888608301227,6.86723661089929e-06
97,1,0,2.80149373692905e-06,1.27121181722207e-05,0.00138886084027603,6.59512562744602e-06
98,1,0,2.80149344658938e-06,2.68120252916893e-06,0.00138886089406848,6.74729715582624e-06
99,1,0,2.80149371716674e-06,8.23333011910646e-06,0.00138886084715907,6.64254006401996e-06
100,1,0,2.80149346748939e-06,2.89309257546329e-06,0.00138886083867976,6.74670749450731e-06
