Run,OK,RMSE_Pn,RMSE_Pe,RMSE_Pd,RMSE_u,RMSE_v,RMSE_w,RMSE_phi,RMSE_theta,RMSE_psi,RMSE_p,RMSE_q,RMSE_r
26,1,0,3.41983780671384,0.0511225473689748,10.0237873792829,1.53026159139683e-09,0.130700894442585,1.65339042473364e-11,0.00377331416373151,4.78479727364215e-11,2.15271923349649e-11,9.91196651275951e-05,3.56683064404847e-09
27,1,0,2.69562865494031,0.0516142141501607,10.0205530617841,1.38734527095651e-09,0.131976706884818,2.106792400174e-11,0.00381043601057482,4.22417137609382e-11,1.72073850301116e-11,9.99196302066072e-05,3.38348024100379e-09
28,1,0,0.245220931777726,0.0511141338263638,10.0238488426444,1.19062921062492e-09,0.130682756152454,1.0205280111637e-12,0.00377278081844777,3.40157323660857e-11,9.68816887504648e-12,9.91035595577146e-05,3.56335819673642e-09
29,1,0,1.0401487379494,0.0509581508229774,10.0248862396137,1.21175952640271e-09,0.130276686823253,2.5443787156422e-12,0.00376097251408232,3.46378371211497e-11,1.01813109198836e-11,9.8847933641184e-05,3.6246561001313e-09
30,1,0,5.08467566408518,0.0474495965840709,10.0478987348483,6.18248849842181e-08,0.121227189432576,1.63133787186442e-09,0.00349773374046652,2.08550195488276e-09,1.15351913156459e-09,9.30056520090846e-05,4.49565799528078e-09
31,1,0,0.39091162981314,0.0513039629591808,10.02258790575,1.19802948501211e-09,0.131174537523661,3.05876190311501e-13,0.00378708753756017,3.42127911044556e-11,9.47894310666825e-12,9.94149091488709e-05,3.60196940525611e-09
32,1,0,3.23227713159817,0.0507807999440707,10.0260451590145,1.26466175512903e-09,0.129814243972355,1.57425364296254e-11,0.00374752185941094,3.72637252503838e-11,2.36331589434413e-11,9.85597670944758e-05,3.51194397470012e-09
33,1,0,0.938742751741151,0.0513203544114268,10.0224769557664,1.18424623757388e-09,0.131216519184862,1.45677366554722e-12,0.00378830928468773,3.38327889522314e-11,9.70274138333868e-12,9.94422521250542e-05,3.64264349306992e-09
34,1,0,0.7056681987718,0.0511735368218173,10.0234437401252,1.21499490005436e-09,0.130836630021677,7.18117647071929e-13,0.00377725431490345,3.47092221474885e-11,9.81626107998789e-12,9.92025378287478e-05,3.71198224496293e-09
35,1,0,0.328568812665043,0.0514032193400077,10.0219282259687,1.19398830099378e-09,0.131429752872747,1.90552429806879e-12,0.00379451634070693,3.41043412351635e-11,9.59058664820133e-12,9.95782409433638e-05,3.58024964905441e-09
36,1,0,0.128955009425519,0.0505904600589566,10.0273063930446,1.16850460128089e-09,0.129319929484221,1.31943923552579e-12,0.00373314555774382,3.33698696674024e-11,9.52338443929497e-12,9.82469291361357e-05,3.52586699628677e-09
37,1,0,9.59681638275178,0.04781141346298,10.0455243223656,7.87041274563473e-08,0.12216150984706,1.79094513899231e-09,0.00352489452823745,2.69306951005205e-09,1.19899078286876e-09,9.36167876310863e-05,4.39220420808506e-09
38,1,0,6.13355035868169,0.0492467631419457,10.0361207959895,1.43605770405572e-08,0.125858299835262,2.89887207841488e-10,0.0036324180625291,5.1550612453717e-10,5.1468745437599e-10,9.60226552500758e-05,3.71167925748597e-09
39,1,0,3.92506723833697,0.0513304730539733,10.0224160282826,1.63270008838574e-09,0.131240217005276,1.97827405596958e-11,0.00378900531116558,5.24742088359194e-11,2.71412124408394e-11,9.94590551010465e-05,3.40185043574107e-09
40,1,0,0.534094324770457,0.050868790232672,10.0254620654725,1.17636875679721e-09,0.130044941635016,1.85698550518994e-13,0.00375422710193903,3.35848003605063e-11,9.45742206504357e-12,9.87034518727836e-05,3.52948500670459e-09
41,1,0,0.133945823616094,0.0509519192621886,10.0249145779565,1.20193969170348e-09,0.130263660814811,8.48286980641855e-13,0.00376058384996493,3.4322899984545e-11,9.29411068021926e-12,9.88382654103449e-05,3.5779187668786e-09
42,1,0,1.35486257656047,0.0506749846807586,10.0267472343869,1.22813850414338e-09,0.129538602237138,5.21177021165673e-13,0.00373950703220278,3.50729595517743e-11,9.74081447848952e-12,9.83861623005695e-05,3.70267388766055e-09
43,1,0,1.02293127770822,0.0511497619428256,10.0236036273225,1.27986890806024e-09,0.130774543193205,1.92896957625506e-12,0.00377544973907273,3.66245081290953e-11,9.87959927841511e-12,9.91633917583821e-05,3.72488048120603e-09
44,1,0,6.44378965129953,0.0479722740984992,10.0444788524035,3.7043119704258e-08,0.122577245952143,1.22115009279538e-09,0.00353698287479167,1.23064986727605e-09,1.18539526806289e-09,9.3886517108507e-05,4.08849568412789e-09
45,1,0,0.457178981950408,0.0514193819413144,10.0218390555421,1.17037822705759e-09,0.131473316597284,5.08026931965267e-13,0.00379578521312203,3.34202275647017e-11,9.40990621286126e-12,9.96015675352553e-05,3.55628113840321e-09
46,1,0,4.18474811688719,0.0514845012801473,10.0213916241396,1.61176223930003e-09,0.131640000973526,2.22379890887392e-11,0.00380063475913841,5.07209067005013e-11,1.94458037847617e-11,9.97109676059523e-05,3.59855295782054e-09
47,1,0,0.454485491566513,0.0509443778078647,10.0249784503,1.22809703140301e-09,0.130236637780393,1.41642661878924e-13,0.00375981632216127,3.50756125468289e-11,9.44683805891305e-12,9.88270018047115e-05,3.60911249445102e-09
48,1,0,2.63426600843532,0.0512980894522587,10.0226226574195,1.21298409649498e-09,0.131158991851866,9.89409201191536e-12,0.00378663468295665,3.50199553582544e-11,1.3315833633851e-11,9.94060580287541e-05,3.48489990243658e-09
49,1,0,2.12969289008476,0.051378851843436,10.0220838893682,1.20500125805741e-09,0.131371391206988,7.18761755420055e-12,0.00379280729298156,3.45925372002122e-11,1.25173946159749e-11,9.95372337634399e-05,3.61256555512627e-09
50,1,0,0.013021361409102,0.0513618678659313,10.0222061913403,1.24094125087396e-09,0.131324571920909,3.53324914858364e-12,0.00379145316428553,3.55233278894302e-11,1.09341271393134e-11,9.95093808785735e-05,3.6517600578263e-09
