Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
45,1,0,0,35.9574835084792,0.00045903417604135,0.000159810102183366,0.420062878659412,0.00247572143157443,1.64860854402323e-15,9.96620391935436e-05,9.81064488067687e-14,1.99432051402896e-13,3.38749329228916e-06,1.19463200202919e-11
46,1,0,0,15.7846761159406,0.000171481201470735,5.89506851125137e-05,0.261201799272627,0.000942253131707765,6.1368520621714e-16,3.78320294685837e-05,3.67066243060743e-14,7.44802087205759e-14,7.75522380257697e-07,4.46484422326193e-12
47,1,0,0,69.3669753446223,0.000754339584158418,0.000265269878057211,0.530700163233955,0.00401001418857969,3.18391961270948e-15,0.000161758089419662,1.88456048430248e-13,3.83840497575491e-13,7.14233521972634e-06,2.29744718368947e-11
48,1,0,0,48.6927795909609,0.000597877390231397,0.000209176000110665,0.476004432857149,0.00320162598973691,2.34746546880972e-15,0.000129014239859069,1.39346921255956e-13,2.83521230663158e-13,5.03671595927614e-06,1.69771747158004e-11
49,1,0,0,55.7176203539156,0.000677057508027247,0.000237502844462503,0.504618046174577,0.00361195736142983,2.76580804456182e-15,0.000145627448228831,1.63943223253756e-13,3.33740058595789e-13,6.07103221808487e-06,1.99800007114494e-11
50,1,0,0,47.5176495618233,0.000594377768094327,0.000207926531368921,0.474699459843863,0.00318343796056791,2.3292358768385e-15,0.000128278163662407,1.38273585552355e-13,2.81330825665038e-13,4.99229608344344e-06,1.68461768346819e-11
51,1,0,0,21.448538095163,0.000186875409889327,6.4296419580499e-05,0.272381373663562,0.00102556249216536,6.11047857369461e-16,4.11841038565421e-05,3.6540065912463e-14,7.41487800951133e-14,8.81923112118537e-07,4.44481387261258e-12
52,1,0,0,75.4591010361285,0.000748188580457919,0.000263055991433366,0.528676460453725,0.00397841022928627,3.14929834105123e-15,0.000160476923943358,1.86428654567388e-13,3.79695109553745e-13,7.05514677061419e-06,2.27267414152229e-11
53,1,0,0,36.7785722655616,0.000544542884459242,0.0001901657355266,0.45549135142613,0.00292377469338245,2.07376977354588e-15,0.000117773405991234,1.23218849369089e-13,2.50618968426518e-13,4.37735327612978e-06,1.50091311807868e-11
54,1,0,0,55.5267854053169,0.000664063682230441,0.000232846393857351,0.500047383089054,0.00354478209892046,2.69691751986265e-15,0.000142906746172419,1.59896647531965e-13,3.25475265008424e-13,5.89723194950293e-06,1.94858772219789e-11
55,1,0,0,39.1728807160766,0.000529712037472593,0.000184889993882265,0.449580448974342,0.00284629184115863,1.99826193069334e-15,0.000114640030389009,1.18764153859109e-13,2.41535135023126e-13,4.19971544323547e-06,1.44656828848588e-11
56,1,0,0,42.8986996352931,0.000512698421528931,0.000178842890154571,0.442697151646134,0.00275729754343837,1.91324945032656e-15,0.000111041768146868,1.13746135021295e-13,2.31304264765924e-13,3.99868365286624e-06,1.38535802699466e-11
57,1,0,0,61.7099496637164,0.000635565804965376,0.000222643470975403,0.489885040556789,0.00339725938464906,2.54519254657298e-15,0.000136933002920075,1.5098072964479e-13,3.07267847017527e-13,5.52079772062411e-06,1.83972596483256e-11
58,1,0,0,52.3856088249343,0.000583493429595207,0.000204043577647935,0.470573934687572,0.00312680582215119,2.27407940622993e-15,0.000125986620292621,1.35025512425339e-13,2.74703099240041e-13,4.85595833317196e-06,1.64497726615244e-11
59,1,0,0,39.1122851343825,0.000559915195623152,0.000195639124603204,0.461514624866047,0.00300398036309302,2.15168572856009e-15,0.000121017512467396,1.27813107398304e-13,2.59989393053233e-13,4.56425432115563e-06,1.55696752074979e-11
60,1,0,0,8.40716926632177,0.000101058975432348,3.45912143497701e-05,0.201597407384894,0.000558921446763325,6.53567441656392e-16,2.24207492886321e-05,3.91329258121117e-14,7.9373651746162e-14,3.51810620265811e-07,4.75890906301158e-12
61,1,0,0,49.4158183031022,0.000592054300723292,0.000207097503385097,0.473820902959262,0.00317135162128993,2.31780443823845e-15,0.000127789089322304,1.37600541121698e-13,2.79957319757712e-13,4.96312485773841e-06,1.67640340821526e-11
62,1,0,0,37.6325285181248,0.00044111352308324,0.000153467887903496,0.412177947301191,0.00238140072874338,1.56149630613322e-15,9.58518243798835e-05,9.29522792096957e-14,1.88932627477523e-13,3.19104532252557e-06,1.13179285006654e-11
63,1,0,0,36.3826989254108,0.000423641145360149,0.000147291117941733,0.404312900467773,0.00228929285012381,1.47823876486264e-15,9.2131852766638e-05,8.80232746467154e-14,1.7889420194916e-13,3.00340083648529e-06,1.07170627737521e-11
64,1,0,0,43.0262114383013,0.000552989033215836,0.000193172490534425,0.458810946806731,0.00296785412043804,2.11651046134301e-15,0.000119556235499239,1.25739510082284e-13,2.55759751253513e-13,4.47975765887206e-06,1.53166643778351e-11
65,1,0,0,54.962268019562,0.000671579792565163,0.000235539625358525,0.502693770251881,0.00358364343799493,2.73566908497528e-15,0.000144480662713746,1.62172397660298e-13,3.30123665802635e-13,5.99766251005134e-06,1.97637801322606e-11
66,1,0,0,21.6424614441518,0.000184337802363006,6.34147157011427e-05,0.270575361887468,0.00101184131250171,6.10250343041764e-16,4.06319458025517e-05,3.64938989985017e-14,7.40540494853955e-14,8.64052599677484e-07,4.43915643556613e-12
67,1,0,0,37.9629762532293,0.000439543126354772,0.000152912688077336,0.41146999999489,0.00237312296004403,1.55464412819962e-15,9.55175044879929e-05,9.25468104314401e-14,1.8810670452361e-13,3.17418452659784e-06,1.12684939398701e-11
