Run,Success,Crashed,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
12,1,0,0.000173760375455246,0.0284977598863427,2.62640003594437e-05,5.30640916266877e-08,3.23895086512886e-09,4.8356832645165e-12,0.00138884962421313,1.36108085058405e-05,3.61312828954598e-13,8.68506573845959e-11,1.03724891763433e-09,1.59629320742333e-12
13,1,0,0.000173865844820661,0.0284977494144159,2.62639992854067e-05,1.49439686363655e-07,8.91918812917709e-09,9.51483158931904e-12,0.00138884990501434,1.3608752406024e-05,1.17808283453982e-12,2.39133037669824e-10,2.92111186510147e-09,4.57940730252365e-12
14,1,0,0.000173512438168171,0.0284977667691774,2.62640009187476e-05,1.74399913450049e-07,1.12307188541159e-08,1.21526620396833e-11,0.00138884943966641,1.36156627902378e-05,1.38216865392544e-12,3.01111234798689e-10,3.40901182919794e-09,5.3478830212553e-12
15,1,0,0.000173902032403205,0.0284977534239172,2.62639997345899e-05,1.82496401350227e-07,4.26511150571394e-09,3.12663705283242e-12,0.00138884979749534,1.36080481476115e-05,1.37968403613499e-12,1.14421506687445e-10,3.56727466485669e-09,5.56062636286541e-12
16,1,0,0.000173892724036145,0.0284977503953908,2.62639994074721e-05,1.74000124312843e-07,7.78142912935013e-09,7.74107744238608e-12,0.00138884987870795,1.36082292425769e-05,1.34851494546547e-12,2.08707285615358e-10,3.40119709782701e-09,5.31860233902446e-12
17,1,0,0.000173704275827881,0.0284977490290191,2.62639991335743e-05,1.68685886049099e-09,9.36559799068278e-09,1.19866697473512e-11,0.00138884991536348,1.36119042953475e-05,9.59595097515673e-14,2.51203564685021e-10,3.29731316650524e-11,1.01009455488215e-13
18,1,0,0.000173793449332324,0.0284977492902167,2.62639992222369e-05,8.33257752844629e-08,9.06714223601043e-09,1.05537209887729e-11,0.0013888499083507,1.36101631753487e-05,6.9333557910014e-13,2.43093995606475e-10,1.62877690509273e-09,2.57277045962057e-12
19,1,0,0.000173872992721801,0.0284977510879982,2.62639994684419e-05,1.5594424561962e-07,6.97533241970098e-09,6.94008927568596e-12,0.00138884986013685,1.36086132465124e-05,1.20859188926869e-12,1.87098789578875e-10,3.04825712617788e-09,4.76659725955921e-12
20,1,0,0.000173912364877047,0.0284977532052595,2.62639997181327e-05,1.9194604055531e-07,4.51944475591405e-09,3.33274416002448e-12,0.00138884980335795,1.36078471790106e-05,1.45142187912473e-12,1.2124741974004e-10,3.75198766558196e-09,5.84861184764027e-12
21,1,0,0.000173819513902562,0.0284977596115247,2.62640003711949e-05,1.07146986505886e-07,2.91943238303444e-09,5.12227321220195e-12,0.00138884963157771,1.36096549722086e-05,7.61774584086877e-13,7.82846744349101e-11,2.09441244202047e-09,3.23969476731195e-12
22,1,0,0.000173827688634181,0.028497753806605,2.62639997254049e-05,1.14587893683813e-07,3.82031562340366e-09,3.42645305893223e-12,0.00138884978723941,1.36094956461024e-05,8.76455134168332e-13,1.02507307380786e-10,2.23986055052559e-09,3.49651267585847e-12
23,1,0,0.000173568858301131,0.0284977573383338,2.62639999186133e-05,1.22507747160248e-07,2.7925330073538e-10,1.22554655315234e-12,0.00138884969255517,1.36145555698198e-05,9.03182463464528e-13,7.85888725918423e-12,2.39467072587506e-09,3.72217013257773e-12
24,1,0,0.000172026828615575,0.0284977882681082,2.62640021357849e-05,1.56113630858972e-06,3.61882863070558e-08,2.60896337929324e-11,0.0013888488632852,1.3645388890003e-05,1.17996335310084e-11,9.7032931056419e-10,3.05156777283859e-08,4.75693886122641e-11
25,1,0,0.000173990516544002,0.0284977486490644,2.626399928792e-05,2.6321298135294e-07,9.81046258413133e-09,9.19882548763731e-12,0.00138884992552882,1.36063287121641e-05,2.02247465517866e-12,2.63104061537205e-10,5.14504935051495e-09,8.03687348153603e-12
26,1,0,0.000173802172203915,0.0284977563677868,2.62639999763594e-05,9.12691818722562e-08,8.47093365644675e-10,1.41288259463004e-13,0.00138884971856184,1.36099930604199e-05,6.78553051445468e-13,2.28851786880596e-11,1.78404746303177e-09,2.77496692063997e-12
27,1,0,0.000173793866344053,0.0284977599783074,2.62640003912982e-05,8.3707236163029e-08,3.34574416503905e-09,5.36827136469929e-12,0.00138884962174433,1.36101550420211e-05,5.85650967197574e-13,8.97074315821828e-11,1.63623340929086e-09,2.52602068297682e-12
28,1,0,0.000173335746789782,0.0284977398851064,2.62639979039948e-05,3.37172499956932e-07,1.9988392469404e-08,2.99845324969026e-11,0.00138885016059264,1.36191402273369e-05,2.30111670111462e-12,5.3599438383669e-10,6.59074328334398e-09,1.01467824268976e-11
29,1,0,0.000174034876067151,0.0284977527495349,2.62639997527761e-05,3.03526610204792e-07,5.04718016666389e-09,2.59153105509365e-12,0.0013888498155685,1.36054680652034e-05,2.27647033125333e-12,1.35386379529695e-10,5.93306373601229e-09,9.23922268786783e-12
30,1,0,0.000173437247054319,0.0284977647030805,2.62640006464014e-05,2.43495968583183e-07,8.82760965085114e-09,8.18013876142882e-12,0.0013888494950761,1.36171407465704e-05,1.86877553627535e-12,2.3666458627373e-10,4.75963903353329e-09,7.43508635074721e-12
31,1,0,0.000173658959166979,0.0284977489294174,2.62639990913412e-05,3.98379060654516e-08,9.4826498139282e-09,1.26714258317309e-11,0.00138884991803681,1.36127905542671e-05,2.08619237149793e-13,2.54254461479484e-10,7.787154469795e-10,1.16637430439597e-12
32,1,0,0.000173647974205323,0.0284977708111395,2.62640014428342e-05,4.99083817435622e-08,1.59197782035916e-08,1.97686854142906e-11,0.00138884933126795,1.36130055346725e-05,5.0871869347301e-13,4.26860519138684e-10,9.75563872681143e-10,1.58929825476028e-12
33,1,0,0.000174020681627197,0.0284977580124403,2.626400033756e-05,2.90577113103032e-07,1.06248569122992e-09,5.10542179126154e-12,0.00138884967444157,1.36057433500358e-05,2.12689526855401e-12,2.8582917612325e-11,5.67993869709721e-09,8.81818934417672e-12
34,1,0,0.000173791193489417,0.0284977517331822,2.62639994806552e-05,8.12420431615489e-08,6.22843294379983e-09,6.94179303447428e-12,0.00138884984284251,1.36102071732286e-05,6.52730999300859e-13,1.67071498549523e-10,1.58804600686671e-09,2.49503321536602e-12
35,1,0,0.000173981608679786,0.0284977653397589,2.6264001089848e-05,2.55093022064803e-07,9.57161072445874e-09,1.5553459190679e-11,0.00138884947795864,1.36065016452558e-05,1.79030672824789e-12,2.56658402231854e-10,4.98632782930571e-09,7.70182543878119e-12
36,1,0,0.000173921779424825,0.0284977565109962,2.62640001134175e-05,2.00540371398509e-07,6.80811288736594e-10,1.71682648367311e-12,0.00138884971471184,1.36076641059589e-05,1.48044730905905e-12,1.84571103330595e-11,3.91998190026757e-09,6.09208904459851e-12
37,1,0,0.000173927491224765,0.0284977504795184,2.62639994403037e-05,2.05751291948484e-07,7.68482006524775e-09,7.21080295819749e-12,0.00138884987644917,1.36075530555298e-05,1.58109190306047e-12,2.06115436214911e-10,4.02184022528145e-09,6.28227350304599e-12
38,1,0,0.000173928044697443,0.028497751942523,2.62639995954714e-05,2.06181993008063e-07,5.98358228320909e-09,5.02496441119241e-12,0.00138884983721647,1.36075422843363e-05,1.56912574437574e-12,1.60415249663515e-10,4.0302591713836e-09,6.28899546455877e-12
39,1,0,0.000173900551198076,0.0284977636596492,2.62640008560974e-05,1.81168627866588e-07,7.62042985358782e-09,1.21014500959588e-11,0.00138884952301832,1.36080769650637e-05,1.26416809218624e-12,2.04336671279946e-10,3.54132061007694e-09,5.46603786386941e-12
40,1,0,0.000173779521520533,0.0284977668235751,2.62640011095822e-05,7.0556220263947e-08,1.12911882448311e-08,1.53843486715241e-11,0.0013888494381858,1.36104348673293e-05,4.18333966401889e-13,3.02754015106367e-10,1.37916927196203e-09,2.09065055316537e-12
41,1,0,0.000173695327450756,0.02849775483915,2.62639997433484e-05,6.50958682329087e-09,2.62183283354304e-09,3.44563079122011e-12,0.00138884975956191,1.36120792215471e-05,2.46073100667808e-14,7.03913525531527e-11,1.27243538905338e-10,1.90354973138949e-13
42,1,0,0.000173817839533809,0.0284977531840224,2.62639996528599e-05,1.05601092724981e-07,4.54365977426804e-09,4.46927126792822e-12,0.00138884980393515,1.36096876079344e-05,8.16821942874922e-13,1.21897523382871e-10,2.06419468227183e-09,3.22697508225703e-12
43,1,0,0.000173918819768979,0.0284977493260185,2.62639993116504e-05,1.97844601788203e-07,9.02445635489225e-09,9.02952827301604e-12,0.00138884990738161,1.36077216550889e-05,1.53488636812706e-12,2.42025754098341e-10,3.86728738133051e-09,6.04846376889959e-12
44,1,0,0.000173521286875052,0.0284977565043472,2.62639997998573e-05,1.66216905958078e-07,6.89011130995783e-10,3.0314170885843e-12,0.00138884971492166,1.36154890317906e-05,1.21591144533017e-12,1.86179943738738e-11,3.24905784853701e-09,5.04359327126213e-12
45,1,0,0.000173863773930977,0.0284977583045907,2.62640002629603e-05,1.47567767613077e-07,1.40166220360972e-09,3.69751080030241e-12,0.00138884966662027,1.36087927291499e-05,1.072456973932e-12,3.76445107766628e-11,2.88452133575468e-09,4.47414096997682e-12
46,1,0,0.000173918449524547,0.0284977535742527,2.62639997604795e-05,1.97450699530107e-07,4.09002565437568e-09,2.71196522138477e-12,0.00138884979346266,1.36077288463975e-05,1.48807116249336e-12,1.09729755980523e-10,3.85958775997339e-09,6.01387090702328e-12
47,1,0,0.000173920236160739,0.0284977615978641,2.62640006499817e-05,1.99160879979729e-07,5.22703082675687e-09,9.2645471580125e-12,0.00138884957830463,1.36076941173337e-05,1.41774001230469e-12,1.40165977546774e-10,3.89301687497967e-09,6.02331135274901e-12
48,1,0,0.000173991105840543,0.0284977635334871,2.62640009045445e-05,2.63778723692893e-07,7.47497717631125e-09,1.29760658354929e-11,0.00138884952639405,1.3606317278703e-05,1.87281525399118e-12,2.00431757998567e-10,5.15610806027635e-09,7.97501778434475e-12
49,1,0,0.000173870323832188,0.0284977584636191,2.62640002826713e-05,1.53553332167267e-07,1.58637746226787e-09,4.01327494338037e-12,0.00138884966235529,1.36086652074826e-05,1.11482027928124e-12,4.25893649357807e-11,3.00152173663701e-09,4.655064033259e-12
50,1,0,0.000173913772967315,0.0284977554841793,2.62639999615074e-05,1.93207689390848e-07,1.87293266624417e-09,2.24727570410914e-13,0.00138884974224721,1.36078197915977e-05,1.43714530434615e-12,5.03139571197488e-11,3.77664925846666e-09,5.87488731827986e-12
51,1,0,0.000173869165919407,0.0284977498049288,2.62639993285927e-05,1.52531707943058e-07,8.46912133758638e-09,8.89755017368866e-12,0.00138884989454349,1.36086877537813e-05,1.19679945000555e-12,2.27152557006194e-10,2.98155189901398e-09,4.66979730764104e-12
52,1,0,0.000173802315356895,0.0284977570062463,2.62640000856361e-05,9.14092546761856e-08,1.05887776609526e-10,1.04403949415651e-12,0.0013888497014399,1.36099902695729e-05,6.72995583518035e-13,3.76987019641667e-12,1.78678548488361e-09,2.77711422165264e-12
