Run,Converged,RMSE_X,RMSE_Z,RMSE_Y,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
22,1,NaN,0.000604597979748077,200.957593835217,4.54010401445551e-11,5.8664252607903e-08,1.07503050699393e-10
23,1,NaN,0.000296197887123376,87.7637885932996,1.42754497907335e-11,5.85568922200535e-08,3.36947508621761e-11
24,1,NaN,7.54517561776652e-05,47.6881921999909,1.65882735991672e-17,5.8763785333658e-08,9.73149230081805e-16
25,1,NaN,3.2423076699845e-05,50.2550912352455,1.65807093367062e-17,5.86869078931148e-08,9.23855089966886e-16
26,1,NaN,0.000106628324950326,60.7291563507693,1.5747773305172e-17,5.87937014782751e-08,9.40548591073162e-16
27,1,NaN,0.000276579305493847,98.3845607082142,3.70252656417474e-13,5.8576863031312e-08,8.66219267856282e-13
28,1,NaN,7.55533881974608e-05,43.3829840016479,1.5857132902604e-17,5.86495118836477e-08,9.88558210808527e-16
29,1,NaN,0.000143190974388477,47.1887283730499,1.65735550400176e-17,5.87204525298347e-08,9.68009586032922e-16
30,1,NaN,0.000209765274641774,87.8902163412848,1.66877340265077e-17,5.87540377189826e-08,9.46416195554616e-16
31,1,NaN,0.000134532173518431,61.6959420142009,1.64635428715796e-17,5.86478934804228e-08,9.7409549614978e-16
32,1,NaN,0.000287997494453346,84.6977406389073,7.39507056199834e-10,5.87198152449489e-08,1.75410221382559e-09
33,1,NaN,7.19416726982902e-05,10.963923587684,1.62829217722439e-17,5.86637381551619e-08,9.49062200272623e-16
34,1,NaN,9.47922696581228e-05,24.8920096912822,1.65868291105869e-17,5.8677853542631e-08,9.46325955382361e-16
35,1,NaN,9.66913976478063e-05,30.5189707449602,1.65431467049446e-17,5.86731625416272e-08,8.9273410174823e-16
36,1,NaN,0.000111716114141849,40.7890841325405,1.55570389259538e-17,5.87731341585356e-08,9.1259388580873e-16
37,1,NaN,0.000347757228698164,176.111056097272,5.91443938949101e-14,5.86419637478176e-08,1.37270504810582e-13
38,1,NaN,3.43053008327012e-05,3.56540070646051,1.66617409933017e-17,5.86796418072127e-08,1.00850805006026e-15
39,1,NaN,0.000105958174597316,37.7506830811378,1.71638237396297e-17,5.87879767647241e-08,9.64944679948101e-16
40,1,NaN,0.000394320169025806,216.526475799212,4.32036677855515e-10,5.86770026458836e-08,1.02473168594755e-09
41,1,NaN,0.000464411593153118,225.650218577112,7.88943825287073e-10,5.8781701295761e-08,1.87142144668547e-09
42,1,NaN,0.00038148205029382,166.993424205895,3.52761455884206e-12,5.85955717029808e-08,8.30550113235045e-12
43,1,NaN,0.000244370718862105,98.3528976753937,1.30449635649505e-15,5.86176921357656e-08,3.16763962788156e-15
44,1,NaN,0.000164419787819451,92.8004404151779,1.24440628274207e-16,5.86154441347694e-08,1.0418704171408e-15
45,1,NaN,0.000423154052199957,207.597378211108,1.7672847180092e-11,5.86226001955048e-08,4.17585457348821e-11
46,1,NaN,0.000244543206265031,60.716016717604,1.9984999712607e-14,5.86719184850412e-08,4.63674529265702e-14
47,1,NaN,0.00028390051684609,71.6799773959243,1.373292866957e-11,5.85371022147203e-08,3.24119248719075e-11
48,1,NaN,0.000539719306995928,299.715690622094,5.64635018918487e-09,5.88129954310115e-08,1.33553599999121e-08
49,1,NaN,0.000188366646440833,101.961767477477,5.45457983677934e-16,5.86454196234513e-08,1.56747239524218e-15
