Run,Converged,RMSE_X,RMSE_Z,RMSE_Y,RMSE_p_RollRate,RMSE_q_PitchRate,RMSE_r_YawRate
44,1,5.3309850827725e-05,2.46590856306027e-12,0.0227985841424628,4.18785979206874e-09,5.41239912179594e-07,7.77412169144087e-10
45,1,1.39431571765897e-05,1.86035712263842e-13,0.0227985841468048,4.17941648951249e-09,1.48647044898689e-07,2.14069256404303e-10
46,1,5.4764236913012e-06,3.71935324235706e-14,0.0227985841501063,4.18663699904828e-09,4.8181539221155e-08,9.39250408792097e-11
47,1,3.0169836259929e-07,3.50803011065263e-15,0.0227985841522303,4.18237849005809e-09,2.36810193488224e-09,6.04940274161164e-11
48,1,5.46116553944575e-06,3.67599790042367e-14,0.0227985841501853,4.18152193537336e-09,4.86515513054791e-08,9.39644715456208e-11
49,1,2.66994056946684e-06,5.04163908054068e-15,0.0227985841528632,4.13832216136437e-09,1.96854162478556e-08,6.85228493484307e-11
50,1,129.782079775704,0.160350802479554,0.0128722348136532,0.000343196765402957,0.537922666263798,0.000199939613609145
51,1,2.04550290238208e-06,4.8439958525648e-15,0.0227985841529605,4.18298795334132e-09,1.58036838541038e-08,6.55355691976477e-11
52,1,1.04415435330928e-05,1.06774688169319e-13,0.0227985841564679,4.1855117981278e-09,1.10005593625317e-07,1.62902032278149e-10
53,1,4.6699777349001e-06,2.50979978177502e-14,0.0227985841539153,4.17928353996655e-09,3.5324142988491e-08,8.38794083313326e-11
54,1,1.64681018039389e-05,2.56106615650973e-13,0.0227985841576565,4.18219618801867e-09,1.7740348035723e-07,2.50917445376242e-10
55,1,2.79380556523907e-06,6.04549401999847e-15,0.0227985841515505,4.17693848688164e-09,2.04418683943234e-08,6.96136642120709e-11
56,1,1.15612341403264e-07,5.32907051820075e-15,0.0227985841524882,4.18332897308868e-09,1.02483468475887e-09,6.03704520097727e-11
57,1,3.67668267237811e-06,1.65229047428355e-14,0.0227985841510652,4.18196845282226e-09,2.73179333080384e-08,7.59184088632278e-11
58,1,6.77690362761954e-06,5.40318065072343e-14,0.0227985841498996,4.18162971053053e-09,5.31381451001163e-08,1.04544793282602e-10
59,1,6.7056890351789e-06,5.56965785434277e-14,0.0227985841551966,4.18180396071098e-09,5.93871552834698e-08,1.07833978637891e-10
60,1,2.72501269630057e-06,5.39468809802007e-15,0.0227985841530373,4.18654590787091e-09,1.99374204086285e-08,6.93206609948377e-11
61,1,3.40412855196494e-06,9.05563427913871e-15,0.0227985841513848,4.18641508208427e-09,2.49026833393925e-08,7.38415057934655e-11
62,1,135.705627306427,0.170705945169989,0.0111459829251049,0.000326754760089693,0.554404410556818,0.000208741787711369
63,1,1.38071480542062e-06,8.78571431098739e-15,0.0227985841522417,4.18006422714148e-09,1.07740794519728e-08,6.28367287306349e-11
64,1,3.52782861877276e-08,7.105427357601e-15,0.0227985841524256,4.17986949458242e-09,2.58696351967403e-10,6.03164520255008e-11
65,1,1.67425953143974e-06,2.85034096126541e-16,0.0227985841525742,4.18253317724754e-09,1.26917929014652e-08,6.39642032518262e-11
